step,trans_type,amount,origin_id,dest_id,is_fraud
1,PAYMENT,9839.64,02bd002118bd,bef025d0b6f8,0
1,PAYMENT,1864.28,36cca46cdc23,4a60fac343a9,0
1,TRANSFER,181.0,f203acfdfdac,e92b5c96a213,1
1,CASH_OUT,181.0,9b5dbf73c5db,75f26f60c8de,1
1,PAYMENT,11668.14,ef8f7aefbd3e,2379793d5f56,0
1,PAYMENT,7817.71,af27a65f22dc,47f240eb9d75,0
1,PAYMENT,7107.77,ed51bcd7ed81,3d58730d2ba4,0
1,PAYMENT,7861.64,d2110a129778,a0232ea1ff5f,0
1,PAYMENT,4024.36,aede0e1d8a48,192b6df82781,0
1,DEBIT,5337.77,b184537d5064,7f8c7e682676,0
1,DEBIT,9644.94,7a3109834ed8,27f7f520b918,0
1,PAYMENT,3099.97,568e237139d6,d8af493433ea,0
1,PAYMENT,2560.74,210d3d532738,d383326b2e40,0
1,PAYMENT,11633.76,a5102999a8a3,929db8fe8bce,0
1,PAYMENT,4098.78,2bcfedbdbacd,35ad06cdb206,0
1,CASH_OUT,229133.94,0047904b343b,c71f1b8466a7,0
1,PAYMENT,1563.82,d50186a58194,c4c3fbb3d2b2,0
1,PAYMENT,1157.86,871ace388265,2601fc4e9107,0
1,PAYMENT,671.64,f9b1da732d40,366262273212,0
1,TRANSFER,215310.3,43e9e00c19a6,f9b047aa4031,0
1,PAYMENT,1373.43,acfbb8913e0d,6f46b60a59d1,0
1,DEBIT,9302.79,4ee4f353f4a8,babf477344b6,0
1,DEBIT,1065.41,3a8cecfa627a,9052035b575d,0
1,PAYMENT,3876.41,ae6210130d4a,f81e5638dca5,0
1,TRANSFER,311685.89,dc59952468d6,41f303ab6dca,0
1,PAYMENT,6061.13,3e30ff96e940,827e93af4bc7,0
1,PAYMENT,9478.39,b612c471a498,0d7bb2000937,0
1,PAYMENT,8009.09,c73db6e54d5b,242b84d644fe,0
1,PAYMENT,8901.99,83231e1d464d,599ee006d28d,0
1,PAYMENT,9920.52,e443543e8db3,1487397dac17,0
1,PAYMENT,3448.92,85ea04b2c18f,8a8b0d54277d,0
1,PAYMENT,4206.84,f8ce04e66eac,85a518cfed9e,0
1,PAYMENT,5885.56,30137f0a028e,4a617fc55f25,0
1,PAYMENT,5307.88,0d6376b97cfe,d326bd4e4c7d,0
1,PAYMENT,5031.22,3d986364ba92,af3515870005,0
1,PAYMENT,24213.67,18641668e658,48ed49a85d13,0
1,PAYMENT,8603.42,c38257bdb080,fe70ae79a6d0,0
1,PAYMENT,2791.42,63b25f15b248,9cb31a4647fb,0
1,PAYMENT,7413.54,381a79885767,e96b01dde81c,0
1,PAYMENT,3295.19,92d3ce265ac0,82fe2339ba5a,0
1,PAYMENT,1684.81,c34423b9d27d,ef0417b62fd9,0
1,DEBIT,5758.59,33dbaf0bae84,d1576287983d,0
1,CASH_OUT,110414.71,f109a1286f50,51da1a522755,0
1,PAYMENT,7823.46,7a665fab085c,60e81401b83d,0
1,PAYMENT,5086.48,9feeb4f474e6,225eb4df1fe4,0
1,PAYMENT,5281.48,5ac247a9bd19,5e7b12555a4a,0
1,PAYMENT,13875.98,d7b6ed21670d,a8590c9394f2,0
1,CASH_OUT,56953.9,432eaf79f4cb,eb0f598dfe6d,0
1,CASH_OUT,5346.89,e60890762eff,e871941e882d,0
1,PAYMENT,2204.04,c63f0119ac43,6c280a7aeea7,0
1,PAYMENT,2641.47,13fe6f5546b6,ab1fb48f0bae,0
1,CASH_OUT,23261.3,a7be1fc676fe,afc6b39b1e06,0
1,PAYMENT,2330.64,b79413a54e72,249d26da67fa,0
1,PAYMENT,1614.64,cb49d2658f51,c1a7320c4907,0
1,PAYMENT,9164.71,6f939c15ffd8,cb05aaf1f030,0
1,PAYMENT,2970.97,9f05133a1f16,7bf18decc5c4,0
1,PAYMENT,38.66,609fcbb56fe0,1a04013879fa,0
1,PAYMENT,2252.44,332e44530714,b72f578cb5a3,0
1,TRANSFER,62610.8,42cda317e53a,f325465c9c80,0
1,DEBIT,5529.13,5f2b64938d1b,d1a24457f0e0,0
1,CASH_OUT,82940.31,f4d2ae6c04ed,7fa3ba1cba55,0
1,DEBIT,4510.22,18e102f224ba,bed964c5e223,0
1,DEBIT,8727.74,29d06217e3ba,bc88c818014f,0
1,PAYMENT,2599.46,fe2e3d355a4b,12a425507e72,0
1,DEBIT,4874.49,2bd32b768103,afa9c67fdb5a,0
1,PAYMENT,6440.78,a40f28d5caf8,fab9bbb84cf9,0
1,PAYMENT,4910.14,fff2df17b9b1,5bdb24fc18b4,0
1,PAYMENT,6444.64,f3bb459b466f,cfd00549e88b,0
1,DEBIT,5149.66,8c30f021118a,adaeb72b0f51,0
1,PAYMENT,7292.16,5a8837fbd1be,3a55d9f4fdff,0
1,CASH_OUT,47458.86,780f63438d6a,8c1345484c47,0
1,CASH_OUT,136872.92,e60fac105b14,e2aed2a724f2,0
1,CASH_OUT,94253.33,a7a9430f657c,8ae56c4d4126,0
1,PAYMENT,2998.04,55faf9190679,952855b9bc3b,0
1,PAYMENT,3454.08,cef534c6a0f9,44037876191a,0
1,PAYMENT,4316.2,fab0ffad5080,43ee15190d86,0
1,PAYMENT,2131.84,5de5b9993a3c,7f6b3d1dd89e,0
1,PAYMENT,12986.61,0c69bcdfcb95,6d482e7d4032,0
1,TRANSFER,42712.39,13d5c6a470a6,adaeb72b0f51,0
1,TRANSFER,77957.68,d2973e531430,1340d89ae7ce,0
1,TRANSFER,17231.46,8dd17862634f,65d466a6f6dc,0
1,TRANSFER,78766.03,0b2abd0123e9,5c4ac115ecf6,0
1,TRANSFER,224606.64,e968d239de60,e2aed2a724f2,0
1,TRANSFER,125872.53,8d6f5ca1a398,e5113ca169ac,0
1,TRANSFER,379856.23,4731f76e3fef,bb3f87de7cb5,0
1,TRANSFER,1505626.01,ff055e837d48,3c45d2f9ad8c,0
1,TRANSFER,554026.99,9becd13615f2,e2aed2a724f2,0
1,TRANSFER,147543.1,5155dc72120b,cba77fa20c40,0
1,TRANSFER,761507.39,9461e0d66d77,bb3f87de7cb5,0
1,TRANSFER,1429051.47,826edad471c3,bb3f87de7cb5,0
1,TRANSFER,358831.92,08fa108e3f8f,e5113ca169ac,0
1,TRANSFER,367768.4,92db57c44f46,cba77fa20c40,0
1,TRANSFER,209711.11,2db155bf910f,51da1a522755,0
1,TRANSFER,583848.46,605b3584bef7,f67e19e1192c,0
1,TRANSFER,1724887.05,73df4f837689,bb3f87de7cb5,0
1,TRANSFER,710544.77,126161f268c7,cba77fa20c40,0
1,TRANSFER,581294.26,08b46524fcaa,bb3f87de7cb5,0
1,TRANSFER,11996.58,231cc2e11e5d,7ef91ee3ddbe,0
1,PAYMENT,2875.1,3850817e70df,d7c3bc290700,0
1,PAYMENT,8586.98,9fd2d6c2d6b3,c3090c42c9ac,0
1,PAYMENT,871.75,1a3b2b93661d,ba9a72d081ab,0
1,PAYMENT,1035.36,f3daf09517f7,2bc30a262ffd,0
1,PAYMENT,1063.53,485432f7dd4e,2e6aa96843f8,0
1,PAYMENT,1019.9,78a13eba0324,5bb2eb3cfea7,0
1,PAYMENT,4059.38,aa762a9adeb5,2ecce5a1d4dd,0
1,PAYMENT,1876.44,843056c0eef4,4e668f25d50f,0
1,CASH_OUT,28404.6,84abddd94d96,7db45169b34b,0
1,CASH_OUT,75405.1,db4660702a94,ccdadbd2d00c,0
1,CASH_OUT,50101.88,43107411d0a7,42b7b3251a90,0
1,CASH_OUT,14121.82,59aee94f1d96,edea279b57f7,0
1,CASH_OUT,78292.91,351814be7fe7,3bfe1a413948,0
1,CASH_OUT,176149.9,d306011f004e,7457551bf6ba,0
1,CASH_OUT,212228.35,28a5b83925d9,0bf9ea81e362,0
1,CASH_OUT,85423.63,3d038d552670,bb3f87de7cb5,0
1,CASH_OUT,11648.5,242c4240e665,5625a3ef4c0c,0
1,PAYMENT,6165.58,1d4580243719,888811ebebe3,0
1,PAYMENT,3705.83,46f96fb77403,239bd294399e,0
1,CASH_OUT,419801.4,5c4a536100e6,560d3f81aa8d,0
1,CASH_OUT,335416.51,8e71c91856f0,3fd651e57422,0
1,PAYMENT,3372.29,ec717d0520db,0f753da4938f,0
1,PAYMENT,661.43,a865cd32c527,3b09c5ae6757,0
1,DEBIT,864.68,73c6b44831ee,027f3ffc9a11,0
1,PAYMENT,1203.44,ce5b09e58a87,2249f9e72e60,0
1,TRANSFER,330757.04,b7ec9d4bbf5b,d93078364149,0
1,PAYMENT,1915.43,f4507634610e,d4164ab08082,0
1,PAYMENT,8.73,26ef2d97bd06,ecca46071361,0
1,DEBIT,3058.8,aaeac4feeb16,b7b3f2bd6fcf,0
1,PAYMENT,5154.97,018703429edd,0f78c14c3cac,0
