step,trans_type,amount,origin_id,dest_id,is_fraud,high_value_flag,risk_type_flag,urgent_review
1,CASH_OUT,416001.33,7b70ae4d993d,2a20a916e6ee,1,True,True,True
1,TRANSFER,1277212.77,841f7a495ae8,ddeccf65cb1d,1,True,True,True
1,CASH_OUT,1277212.77,6f8398004c7c,256bc3ccfc79,1,True,True,True
1,TRANSFER,235238.66,80610b4bb8da,f0dfa8220d1f,1,True,True,True
1,CASH_OUT,235238.66,cab3e2850280,45c45f4a927d,1,True,True,True
2,TRANSFER,1096187.24,b5a916fc6fa6,aed776d57807,1,True,True,True
2,CASH_OUT,1096187.24,a7113039e8b3,e0d6bc701108,1,True,True,True
2,TRANSFER,963532.14,d692cb0ca717,a42f64bb849c,1,True,True,True
2,CASH_OUT,963532.14,59cd5d6a8ae9,983eb431cccb,1,True,True,True
4,TRANSFER,10000000.0,66e0f3fc3abb,b373136045ba,1,True,True,True
4,CASH_OUT,10000000.0,208d0022a667,35a152aa31d9,1,True,True,True
4,TRANSFER,2930418.44,8ad0e22f110c,deae24697396,1,True,True,True
4,CASH_OUT,2930418.44,e428915a0892,41f303ab6dca,1,True,True,True
6,TRANSFER,216422.0,161b5c8519ca,d4d182a7ec40,1,True,True,True
6,CASH_OUT,216422.0,02d664e4a35e,4fa18aba32fc,1,True,True,True
7,TRANSFER,262434.54,e81a31620580,e28465b371ef,1,True,True,True
7,CASH_OUT,262434.54,f24d0d8430bd,c5e833309f21,1,True,True,True
7,TRANSFER,5460002.91,cfc951ac4aaf,30b1c2f9dcc4,1,True,True,True
7,CASH_OUT,5460002.91,b307e27d461a,6f87fff082cc,1,True,True,True
7,TRANSFER,441445.58,11b0e5fbb183,d5904cda11f4,1,True,True,True
7,CASH_OUT,441445.58,8d099fbfd4e1,5d76c5e356ad,1,True,True,True
8,TRANSFER,1078013.76,48070dbdbe5b,bf7604498d2b,1,True,True,True
9,TRANSFER,556218.01,fc42298c828a,bd288ed0345e,1,True,True,True
9,CASH_OUT,556218.01,c0c7eaa663b5,c9ce031ab8ee,1,True,True,True
9,TRANSFER,350705.74,42731fc5120f,fe06b5bf5a89,1,True,True,True
9,CASH_OUT,350705.74,7886bbe882cb,952cb06e2ce1,1,True,True,True
9,TRANSFER,2539898.07,584003504dc3,6d812c8fec18,1,True,True,True
9,CASH_OUT,2539898.07,3c958036eb29,5d8b23d66670,1,True,True,True
9,TRANSFER,361559.69,a6174b0adde0,acc21ec3bfe1,1,True,True,True
9,CASH_OUT,361559.69,959bdd742df7,462367fc6c44,1,True,True,True
9,TRANSFER,1154353.99,9b4fee0e3fb5,01e2705c24d6,1,True,True,True
9,CASH_OUT,1154353.99,ef0da82cd80b,6ba8d47b7e0b,1,True,True,True
9,TRANSFER,994453.2,bd5ff8d556a0,5160cf6d34fd,1,True,True,True
9,TRANSFER,244068.01,a32eb305b126,904b2f1d2d7b,1,True,True,True
9,CASH_OUT,244068.01,7734e7d46129,ffe0947102dd,1,True,True,True
10,CASH_OUT,277970.88,19365ab195ef,70f624a139f2,1,True,True,True
10,TRANSFER,503405.88,97be0e0f47a9,cce1e5c6072f,1,True,True,True
10,CASH_OUT,503405.88,4afa97e524bf,71dbf90fb69a,1,True,True,True
